"Unique.Code","Easting","Northing","Date","Time","Species","Count"
"11_ER_091116_MO2",NA,NA,"09/11/2016","07:30","DN",50
"11_ER_091116_MO3",477754.139268954,101109.809300942,"09/11/2016","07:45","DB",12
"11_ER_091116_MO4",477412.491196265,102809.321357433,"09/11/2016","07:45","DB",30
"11_ER_091116_MO5",477018.268574514,101101.05160422,"09/11/2016","07:50","T.",20
"11_ER_091116_MO6",477882.40295698,101357.39644642,"09/11/2016","08:10","GV",300
"11_ER_091116_MO8",477719.10066819,101898.242281336,"09/11/2016","08:20","L.",2
"11_ER_091116_MO9",477228.521751263,102318.741582263,"09/11/2016","09:05","L.",50
"16_DS_301116_MO2",468279.54646078,103393.89124735,"09/11/2016","10:20","DN",1000
"9_ER_301116_MO3",470732.70308657,100115.533319565,"30/11/16","10:35","OC",16
"9_ER_301116_MO4",470119.48270766,101543.475045141,"30/11/16","10:50","DN",350
"9_ER_301116_MO5",470189.565342355,101464.631505696,"30/11/16","10:55","OC",25
"9_ER_301116_MO6",469488.731726049,100246.943302361,"30/11/16","11:00","BA",36
"16_DS_161216_MO1",NA,NA,"16/12/2016","09:50","DB",56
"16_DS_161216_MO2",468276.53715399,104155.78272363,"16/12/2016","09:50","DB",7
"16_DS_161216_MO3",467679.729110121,103770.806702444,"16/12/2016","10:00","L.",22
"16_DS_161216_MO4",467451.958507444,103464.194750262,"16/12/2016","10:05","BW",80
"16_DS_161216_MO5",467478.239951802,103560.558670805,"16/12/2016","10:05","AV",65
"16_DS_161216_MO6",468279.54646078,103393.89124735,"16/12/2016","11:00","DN",3000
"16_DS_190117_MO1",467745.434919424,104618.37178497,"19/01/2017","12:30","DB",90
"16_DS_190117_MO2",468276.53715399,104155.78272363,"19/01/2017","12:42","DB",90
"16_DS_190117_MO3",467506.6530882,103011.14040931,"19/01/2017","13:20","DB",150
"16_DS_190117_MO4",467973.204506406,104644.652054853,"19/01/2017","13:25","DB",45
"16_DS_190117_MO5",469094.529583782,104189.109007874,"19/01/2017","13:45","DN",1000
