"Record_id","Source","Recorder Name","Site","Easting","Northing","Date","Season","Time on Site","Species","Count","Use","Disturbance"
602,"Goosewatch","Ed Rowsell","C10F",475300,104330,1/8/2014,"2013-14","08:30","Brent Goose ",30,,"No"
605,"Goosewatch","Ed Rowsell","C10F",475360,103970,1/8/2014,"2013-14","15:30","Curlew",23,,"No"
609,"Goosewatch","Ed Rowsell","C10F",475410,104600,1/8/2014,"2013-14","13:30","Curlew",1,,"No"
606,"Goosewatch","Ed Rowsell","C10F",475360,103970,1/8/2014,"2013-14","15:30","Lapwing",50,,"No"
666,"Goosewatch","Anne de Potier","C10F",475260,104710,1/21/2014,"2013-14","15:20","Brent Goose ",430,,"No"
910,"Goosewatch","Anne de Potier","C10F",475230,104650,3/19/2014,"2013-14","14:00","Curlew",26,,
612,"Goosewatch","Ed Rowsell","C3H",483650,102590,1/9/2014,"2013-14","12:10","Brent Goose ",1600,,"No"
709,"Goosewatch","Ed Rowsell","C3H",483610,102230,1/22/2014,"2013-14","13:30","Brent Goose ",2000,,"No"
794,"Goosewatch","Ed Rowsell","C3H",483660,102460,1/29/2014,"2013-14","09:20","Curlew",35,,"No"
795,"Goosewatch","Ed Rowsell","C3H",483660,102460,1/29/2014,"2013-14","09:20","Oystercatcher",11,,"No"
790,"Goosewatch","Ed Rowsell","C4",483100,103730,1/29/2014,"2013-14","08:45","Brent Goose ",1000,,"No"
789,"Goosewatch","Ed Rowsell","C4",483210,104080,1/29/2014,"2013-14","08:45","Curlew",34,,"No"
685,"Goosewatch","Anne de Potier","C4",483070,103700,3/3/2014,"2013-14","10:00","Brent Goose ",600,,
684,"Goosewatch","Anne de Potier","C4A",483360,104310,3/3/2014,"2013-14","11:15","Curlew",58,,
911,"Goosewatch","Anne de Potier","C4A",483370,104310,3/24/2014,"2013-14","15:45","Curlew",33,,
912,"Goosewatch","Anne de Potier","C4A",483370,104310,3/24/2014,"2013-14","15:45","Curlew",33,,
791,"Goosewatch","Ed Rowsell","C4E",484020,103750,1/29/2014,"2013-14","09:20","Curlew",1,,"No"
792,"Goosewatch","Ed Rowsell","C4E",484020,103750,1/29/2014,"2013-14","09:20","Lapwing",25,,"No"
552,"Goosewatch","Ed Rowsell","C4L",478320,99310,12/23/2013,"2013-14","11:11","Brent Goose ",500,,"No"
550,"Goosewatch","Ed Rowsell","C4L",480370,102120,1/3/2014,"2013-14","14:00","Brent Goose ",500,,"No"
551,"Goosewatch","Ed Rowsell","C4L",480370,102120,1/3/2014,"2013-14","14:00","Curlew",20,,"No"
571,"Goosewatch","Ed Rowsell","C4L",480380,102160,1/4/2014,"2013-14","12:00","Brent Goose ",400,,"No"
