Unique.code,Date,Time,Species,Count,Comments,Map.cross.ref
VP8_ARJ_21102016_CO1,21/10/2016,08:00,DB,450,Feeding,8_ARJ_21102016_SC01
VP8_ARJ_21102016_CO2,21/10/2016,08:00,CU,5,Feeding,8_ARJ_21102016_SC01
VP8_ARJ_21102016_CO3,21/10/2016,08:00,DN,30,Feeding,8_ARJ_21102016_SC01
VP8_ARJ_21102016_CO4,21/10/2016,08:00,OC,25,Feeding,8_ARJ_21102016_SC01
VP8_ARJ_21102016_CO5,21/10/2016,08:00,RK,10,Feeding,8_ARJ_21102016_SC01
VP8_ARJ_21102016_CO6,21/10/2016,08:00,WN,30,Feeding,8_ARJ_21102016_SC01
VP8_ARJ_21102016_CO7,21/10/2016,08:00,DB,40,Feeding,8_ARJ_21102016_SC02
VP8_ARJ_21102016_CO8,21/10/2016,09:00,DB,40,Feeding,8_ARJ_21102016_SC03
VP8_ARJ_21102016_CO9,21/10/2016,09:00,DB,320,Feeding,8_ARJ_21102016_SC04
VP8_ARJ_21102016_CO10,21/10/2016,09:00,CU,5,Feeding,8_ARJ_21102016_SC04
VP8_ARJ_21102016_CO11,21/10/2016,09:00,GV,2,Feeding,8_ARJ_21102016_SC04
VP8_ARJ_21102016_CO12,21/10/2016,09:00,RK,3,Feeding,8_ARJ_21102016_SC04
VP8_ARJ_21102016_CO13,21/10/2016,09:00,U.,35,Feeding,8_ARJ_21102016_SC04
VP8_ARJ_21102016_CO14,21/10/2016,09:00,WN,300,Feeding,8_ARJ_21102016_SC04
VP8_ARJ_21102016_CO15,21/10/2016,09:00,DB,290,Feeding,8_ARJ_21102016_SC05
VP8_ARJ_21102016_CO16,21/10/2016,09:00,CU,3,Feeding,8_ARJ_21102016_SC05
VP8_ARJ_21102016_CO17,21/10/2016,09:00,OC,25,Feeding,8_ARJ_21102016_SC05
VP8_ARJ_21102016_CO18,21/10/2016,09:00,RK,6,Feeding,8_ARJ_21102016_SC05
VP8_ARJ_21102016_CO19,21/10/2016,10:00,DB,20,Feeding,8_ARJ_21102016_SC06
VP8_ARJ_21102016_CO20,21/10/2016,10:00,DB,340,"Feeding, A few ringed but too distant",8_ARJ_21102016_SC07
VP8_ARJ_21102016_CO21,21/10/2016,10:00,CU,5,Feeding,8_ARJ_21102016_SC07
VP8_ARJ_21102016_CO22,21/10/2016,10:00,OC,10,Feeding,8_ARJ_21102016_SC07
VP8_ARJ_21102016_CO23,21/10/2016,10:00,U.,50,Feeding,8_ARJ_21102016_SC07
VP8_ARJ_21102016_CO24,21/10/2016,10:00,WN,350,Feeding,8_ARJ_21102016_SC07
VP8_ARJ_21102016_CO25,21/10/2016,10:00,DB,400,Feeding,8_ARJ_21102016_SC08
VP8_ARJ_21102016_CO26,21/10/2016,10:00,CU,5,Feeding,8_ARJ_21102016_SC08
VP8_ARJ_21102016_CO27,21/10/2016,10:00,OC,25,Feeding,8_ARJ_21102016_SC08
VP8_ARJ_21102016_CO28,21/10/2016,10:00,U.,100,,8_ARJ_21102016_SC08
VP8_ARJ_21102016_CO29,21/10/2016,11:00,DB,30,Feeding,8_ARJ_21102016_SC09
VP8_ARJ_21102016_CO30,21/10/2016,11:00,DB,470,Feeding,8_ARJ_21102016_SC10
VP8_ARJ_21102016_CO31,21/10/2016,11:00,GV,4,Feeding,8_ARJ_21102016_SC10
VP8_ARJ_21102016_CO32,21/10/2016,11:00,DB,196,Feeding + Roosting,8_ARJ_21102016_SC11
VP8_ARJ_21102016_CO33,21/10/2016,11:00,CU,7,Feeding,8_ARJ_21102016_SC11
VP8_ARJ_21102016_CO34,21/10/2016,11:00,OC,38,Feeding,8_ARJ_21102016_SC11
VP8_ARJ_21102016_CO35,21/10/2016,12:00,DB,470,Feeding,8_ARJ_21102016_SC12
VP8_ARJ_21102016_CO36,21/10/2016,12:00,GV,4,Feeding,8_ARJ_21102016_SC12
VP8_ARJ_21102016_CO37,21/10/2016,12:00,OC,1,Feeding,8_ARJ_21102016_SC12
VP8_ARJ_21102016_CO38,21/10/2016,12:00,DB,270,Feeding,8_ARJ_21102016_SC13
VP8_ARJ_21102016_CO39,21/10/2016,12:00,CU,5,Feeding,8_ARJ_21102016_SC13
VP8_ARJ_21102016_CO40,21/10/2016,12:00,OC,37,Feeding,8_ARJ_21102016_SC13
VP8_ARJ_21102016_CO41,21/10/2016,12:00,DB,30,Feeding,8_ARJ_21102016_SC14
ROAM_DS_31102016_SC1,31/10/2016,11:20,DB,21,Swimming,G51
ROAM_DS_31102016_SC2,31/10/2016,11:20,DB,10,Swimming,G38
ROAM_DS_31102016_SC3,31/10/2016,11:20,LG,2,Feeding,G51
ROAM_DS_31102016_SC4,31/10/2016,11:20,BH,1,Roosting on water,G51
ROAM_DS_31102016_SC5,31/10/2016,11:20,BH,8,Roosting on wrecks,G43
ROAM_DS_31102016_SC6,31/10/2016,11:20,CM,1,Roosting on wrecks,G39
ROAM_DS_31102016_SC7,31/10/2016,11:20,BH,12,Roosting on water,G38
ROAM_DS_31102016_SC8,31/10/2016,11:25,RK,54,Roosting on wrecks,G39
ROAM_DS_31102016_SC9,31/10/2016,11:26,CA,1,Feeding,G51
ROAM_DS_31102016_SC10,31/10/2016,11:46,GB,1,Disused pier - roosting,G40
ROAM_DS_31102016_SC11,31/10/2016,11:46,HG,1,Disused pier - roosting,G40
ROAM_DS_31102016_SC12,31/10/2016,11:46,CA,10,Disused pier - roosting,G40
ROAM_DS_31102016_SC13,31/10/2016,11:46,OC,2,Disused pier - roosting,G40
ROAM_DS_31102016_SC14,31/10/2016,12:10,RK,29,Roosting on wrecks,G43
ROAM_DS_31102016_SC15,31/10/2016,12:10,BH,18,roosting on water,G43
ROAM_DS_31102016_SC16,31/10/2016,12:10,BH,31,roosting on water just off parham road,G38
ROAM_DS_31102016_SC17,31/10/2016,12:10,HG,2,roosting on water just off parham road,G38
ROAM_DS_31102016_SC18,31/10/2016,12:20,BH,1,feeding - st vincent playing field,G47
,31/10/2016,12:27,None,0,NO BIRDS Arden Park,GO3
ROAM_DS_31102016_SC19,31/10/2016,12:35,MS,4,,G54
ROAM_DS_31102016_SC20,31/10/2016,12:35,BH,147,R/F walpole park,G54
ROAM_DS_31102016_SC21,31/10/2016,12:35,HG,7,R/F walpole park,G54
ROAM_DS_31102016_SC22,31/10/2016,12:35,CM,2,R/F walpole park,G54
ROAM_DS_31102016_SC23,31/10/2016,12:35,CG,10,,G54
ROAM_DS_31102016_SC24,31/10/2016,12:35,RM,1,Roosting Haslar Lake,G45
ROAM_DS_31102016_SC25,31/10/2016,12:50,BH,47,Roosting Haslar Lake,G45
ROAM_DS_31102016_SC26,31/10/2016,12:50,HG,2,Roosting Haslar Lake,G45
ROAM_DS_31102016_SC27,31/10/2016,12:50,CA,5,Roosting,G45
ROAM_DS_31102016_SC28,31/10/2016,12:50,HG,15,Roosting,G45
ROAM_DS_31102016_SC29,31/10/2016,12:50,CM,1,Roosting,G45
ROAM_DS_31102016_SC30,31/10/2016,12:50,LG,1,Feeding,G45
ROAM_DS_31102016_SC31,31/10/2016,13:00,RK,12,Roosting on concrete piers,G41
ROAM_DS_31102016_SC32,31/10/2016,13:00,CM,4,Roosting on concrete piers,G41
ROAM_DS_31102016_SC33,31/10/2016,13:00,BH,9,Roosting on concrete piers,G41
ROAM_DS_31102016_SC34,31/10/2016,13:00,H.,1,Roosting on concrete piers,G41
ROAM_DS_31102016_SC35,31/10/2016,13:15,DB,16,Feeding march at tip of Gosport park,G46
ROAM_DS_31102016_SC36,31/10/2016,13:15,MA,2,Roosting,G46
ROAM_DS_31102016_SC37,31/10/2016,13:15,BH,7,Roosting,G46
ROAM_DS_31102016_SC38,31/10/2016,13:20,CM,1,Roosting on water - workhouse lake,G46
ROAM_DS_31102016_SC39,31/10/2016,13:20,BH,12,Roosting on water - workhouse lake,G46
