UniqueID,VP_Location ,Date,SurveyTime,Weather,Observer,Sheet,RecordID,Time,FieldID_Origin,Oknown,Landuse_Croptype,Sward_height,Species,Count,Disturb.Source_Code,No.Disturbers,Disturb.Response_Code,Other_movemt_activity,Destination_code,Dknown,Direction,Comments 
1,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO1,09:40,East of P64,,,,RK,30,,,,,,,,Feeding on water's edge 
2,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO1,09:04,East of P64 - P93,,,,BW,234,,,,,,,,Feeding on water's edge 
3,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO2,10:00,P93,,,,TS,47,,,,,,,,
4,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,MO1,10:02,P93,Yes,,,TS,42,DW,,F,,P93/F78,No,,"TS and small numbers of RK, BW, OC, DN briefly. Displaced by dog walker throwing frisbee along shore."
5,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO3,10:05,South of P94,,,,DB,263,,,,,,,,Resting on water and feeding on mud
6,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO4,10:01,F78,,,,BW,178,,,,,,,,3 colour ringed birds
7,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,MO2,10:12,F78,Yes,,,BW,16,,,,,P92,Yes,,Flew to P92
8,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO5,10:27,F78,,,,CU,154,,,,,,,,One of two individuals flying in from Portchester Lake area to the South 
9,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,MO3,10:28,F78,Yes,,,RK,1,O,,F,,F78,Yes,,Small numbers displaced by toy balloon drifting over mud flat.
10,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,MO3,10:28,F78,Yes,,,OC,1,O,,F,,F78,Yes,,Small numbers displaced by toy balloon drifting over mud flat.
11,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,MO3,10:28,F78,Yes,,,CU,1,O,,F,,P93,Yes,,Small numbers displaced by toy balloon drifting over mud flat.
12,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,MO3,10:28,F78,Yes,,,BW,1,O,,F,,P92,Yes,,Small numbers displaced by toy balloon drifting over mud flat.
13,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO6,10:03,F78,,,,DN,2000,,,,,,,,Feeding and working West with the dropping tide 
14,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO7,10:46,Mud Sw of F78,,,,DB,180,,,,,,,,Resting and feeding on mud
15,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO8,10:55,P92,,,,DN,1260,,,,,,,,Feeding on mud and working West with dropping tide
16,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO8,11:00,P92,,,,ET,2,,,,,,,,
17,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO9,11:05,F78/P92,,,,PT,15,,,,,,,,Feeding in channel to the South. Also 5 NW
18,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO10,11:05,F78/P92,,,,CU,22,,,,,,,,
19,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO10,11:15,P92,,,,RK,32,,,,,,,,
20,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO11,11:03,P92,,,,DB,63,,,,,,,,Feeding on saltgrass close to sea wall
21,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO12,11:35,P91,,,,WN,235,,,,,,,,Feeding and resting along creek to the South of P91
22,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO13,11:47,P91,,,,DB,111,,,,,,,,Feeding and resting on mud. A few birds flighting W up channel
23,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO13,11:47,P90,,,,WN,34,,,,,,,,Mainly resting along edge of main channel
24,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO13,11:05,P90,,,,OC,19,,,,,,,,
25,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO13,11:52,P90,,,,BW,32,,,,,,,,Feeding along water's edge of main channel 
26,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO13,11:52,P90,,,,CU,2,,,,,,,,
27,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO13,11:52,P90,,,,DN,15,,,,,,,,
28,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO14,11:52,P90,,Pontoon,,CA,1,,,,,,,,Resting on pontoon
29,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO15,11:54,P90,,,,TL,5,,,,,,,,Feeding on mud SE of VP17
30,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO16,12:02,P92,,,,DN,3480,,,,,,,,Feeding and working West
