UniqueID,VP_Location ,RecordID,Observer,Date,Time,Species,Origin,Destination,Count,Direction
1459,Thorney Island,MO4,Anne de Potier,13/01/2017,10:51,Brent Goose (Dark-bellied),C10B,C10B,63,
1460,Thorney Island,MO5,Anne de Potier,13/01/2017,10:54,Brent Goose (Dark-bellied),C10B,C10B,63,
1461,Thorney Island,MO6,Anne de Potier,13/01/2017,11:08,Brent Goose (Dark-bellied),C10B,C10B,63,
1511,Thorney Island,MO4,Anne de Potier,03/02/2017,14:39,Brent Goose (Dark-bellied),C10B,C10B,47,
1520,Thorney Island,MO5,Anne de Potier,03/02/2017,15:09,Brent Goose (Dark-bellied),C10B,C10B,47,
1521,Thorney Island,MO6,Anne de Potier,03/02/2017,15:37,Brent Goose (Dark-bellied),C10B,C10B,47,
1462,Thorney Island,MO6,Anne de Potier,13/01/2017,11:08,Curlew,C10B,C10B,35,
1464,Thorney Island,MO7,Anne de Potier,13/01/2017,11:20,Curlew,C10B,C10B,35,
1512,Thorney Island,MO4,Anne de Potier,03/02/2017,14:39,Curlew,C10B,C10B,28,
1522,Thorney Island,MO6,Anne de Potier,03/02/2017,15:37,Curlew,C10B,C10B,58,
1466,Thorney Island,MO7,Anne de Potier,13/01/2017,11:20,Golden Plover,C10B,C10B,83,
1524,Thorney Island,MO6,Anne de Potier,03/02/2017,15:37,Golden Plover,C10B,C10B,370,
1465,Thorney Island,MO7,Anne de Potier,13/01/2017,11:20,Lapwing,C10B,C10B,175,
1523,Thorney Island,MO6,Anne de Potier,03/02/2017,15:37,Lapwing,C10B,C10B,110,
CM_NEW_163,12,MO13,Josh Nightingale,09/11/2016,08:28,Brent Goose (Dark-bellied),C10F,C10F,15,
CM_NEW_149,12,MO3,Josh Nightingale,09/11/2016,07:15,Brent Goose (Dark-bellied),C10F,C10F,20,
2316,Thorney Island,MO5,Anne de Potier,13/02/2017,13:47,Brent Goose (Dark-bellied),C10M,C10F,200,
2318,Thorney Island,MO7,Anne de Potier,13/02/2017,14:06,Brent Goose (Dark-bellied),C10M,C10F,1100,
2323,Thorney Island,MO8,Anne de Potier,13/02/2017,14:15,Curlew,C10M,C10F,36,
2312,Thorney Island,MO1,Anne de Potier,13/02/2017,13:24,Brent Goose (Dark-bellied),C25,C10F,1050,
2320,Thorney Island,MO8,Anne de Potier,13/02/2017,14:15,Brent Goose (Dark-bellied),C25,C10F,1050,
2322,Thorney Island,MO8,Anne de Potier,13/02/2017,14:15,Lapwing,C25,C10F,200,
1479,Thorney Island,MO7B,Anne de Potier,13/01/2017,13:30,Brent Goose (Dark-bellied),C25,C10F,31,
CM_NEW_43,12,CO30,Josh Nightingale,31/10/2016,11:30,Lapwing,C42,C10F,4,
CM_NEW_45,12,CO32,Josh Nightingale,31/10/2016,11:59,Redshank,C42,C10F,3,
CM_NEW_24,12,CO11,Josh Nightingale,31/10/2016,11:59,Redshank,Chichester Harbour - 20429,C10F,3,
