"Unique.Code","Date","Time","Species","Count","Origin","ox","oy","Destination","dx","dy","Comments"
"11_ER_091116_MO6","09/11/2016","08:10","GV","300","C7D",477882.40295698,101357.39644642,"feedatheadofchannel",477675.30770811,104342.384286993,""
"16_DS_301116_MO2","09/11/2016","10:20","DN","1000","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,NA
"9_ER_301116_MO3","30/11/16","10:35","OC","16",NA,470732.70308657,100115.533319565,"H85",469422.37880961,99827.33639172,"To H85"
"9_ER_301116_MO6","30/11/16","11:00","BA","36",NA,469488.731726049,100246.943302361,"H72",469900.68411626,103188.19509045,"CO1 - H72"
"16_DS_161216_MO2","16/12/2016","09:50","DB","7","P10H",468276.53715399,104155.78272363,"A",467732.294443251,104638.082653994,"Flew in from P10H main lake and landed at A"
"16_DS_161216_MO3","16/12/2016","10:00","L.","22","A",467679.729110121,103770.806702444,"P10H",468276.53715399,104155.78272363,""
"16_DS_161216_MO4","16/12/2016","10:05","BW","80","F",467451.958507444,103464.194750262,"P10H",468276.53715399,104155.78272363,"Flew on rising tidefrom roundabout (M27) to P10H/4"
"16_DS_161216_MO5","16/12/2016","10:05","AV","65","G",467478.239951802,103560.558670805,"P10H",468276.53715399,104155.78272363,"Flew onto main lake at P10H/4"
"16_DS_190117_MO1","19/01/2017","12:30","DB","90","PO8A",467745.434919424,104618.37178497,"P10H",468276.53715399,104155.78272363,NA
"16_DS_190117_MO2","19/01/2017","12:42","DB","90","P10H",468276.53715399,104155.78272363,"P08A",467792.93977895,104694.73581295,NA
"16_DS_190117_MO3","19/01/2017","13:20","DB","150","P11",467506.6530882,103011.14040931,"P10H",468276.53715399,104155.78272363,NA
"16_DS_190117_MO4","19/01/2017","13:25","DB","45","PO8A",467973.204506406,104644.652054853,"P11",467506.6530882,103011.14040931,NA
"16_DS_190117_MO6","19/01/2017","14:00","DN","120","Bmap6",469199.653774033,104136.546436517,"P73",468279.54646078,103393.89124735,NA
"16_DS_190117_MO7","19/01/2017","14:00","SU","28","H71",469508.7888797,103555.7724845,"P10I",468700.88757511,103830.84924908,NA
"16_DS_190117_MO8","19/01/2017","14:05","DN","700","Bmap6",468998.162964754,103470.75942165,"P73",468279.54646078,103393.89124735,NA
"16_DS_190117_MO9","19/01/2017","14:07","DN","350","Bmap6",469190.893694717,104215.389753864,"H71",469508.7888797,103555.7724845,NA
"16_DS_190117_MO10","19/01/2017","14:08","DN","400","Bmap6",469217.174821654,104224.150023693,"H71",469508.7888797,103555.7724845,NA
"16_DS_190117_MO11","19/01/2017","14:08","DN","300","Bmap6",469278.497408839,104232.910166529,"P73",468279.54646078,103393.89124735,NA
"16_DS_190117_MO12","19/01/2017","14:15","DN","100","H71",469508.7888797,103555.7724845,"P73",468279.54646078,103393.89124735,NA
"16_DS_190117_MO16","19/01/2017","14:51","DN","70","Bmap6",469182.133202657,104180.348325343,"P73",468279.54646078,103393.89124735,NA
"16_DS_190117_MO17","19/01/2017","14:52","DN","300","Bmap6",469173.372901093,104197.869087225,"P73",468279.54646078,103393.89124735,NA
"16_DS_190117_MO18","19/01/2017","14:52","DN","200","Bmap6",469182.13298041,104119.025769877,"P73",468279.54646078,103393.89124735,NA
"16_DS_190117_MO19","19/01/2017","15:01","DN","200","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,NA
"16_DS_190117_MO20","19/01/2017","15:05","DN","2500","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,NA
"NH_JN_311116_MO2","30/11/2016","10:55","DN","1000","H73A",471627.28181909,103746.15072104,"H73B",471361.56283807,103537.71325255,NA
"NH_JN_311116_MO3","30/11/2016","10:55","DN","500","H73A",471627.28181909,103746.15072104,"H73B",471361.56283807,103537.71325255,NA
"NH_JN_311116_MO4","30/11/2016","11:55","DB","30","farlingtonwaterbycarpark",NA,NA,"P08A",467792.93977895,104694.73581295,NA
"NH_JN_311116_MO5","30/11/2016","12:00","DB","25","farlingtonwaterbycarpark",NA,NA,"P08A",467792.93977895,104694.73581295,NA
"NH_JN_311116_MO6","30/11/2016","12:05","DB","14","farlingtonwaterbycarpark",NA,NA,"P08A",467792.93977895,104694.73581295,NA
"7_ER_211016_MO1","21/10/2016","07:40","DB","10","Channeledge",474247.806871532,102132.594632451,"7_ER_211016_SC01",473792.266809463,101834.743872186,"Flew to feed on zostera"
"7_ER_211016_MO1","21/10/2016","07:40","WN","150","Channeledge",474247.806871532,102132.594632451,"7_ER_211016_SC01",473792.266809463,101834.743872186,""
"7_ER_211016_MO15","21/10/2016","09:50","WN","100","7_ER_211016_SC09",474931.124016957,104524.171813844,"7_ER_211016_SC09",474931.124016957,104524.171813844,"All birds flushed, most resettled after 1m some (10-20) moved to SC10"
"7_ER_211016_MO15","21/10/2016","09:50","DB","50","7_ER_211016_SC09",474931.124016957,104524.171813844,"7_ER_211016_SC09",474931.124016957,104524.171813844,"All birds flushed, most resettled after 1m some (10-20) moved to SC10"
"7_ER_211016_MO15","21/10/2016","09:50","WN","100","7_ER_211016_SC09",474931.124016957,104524.171813844,"7_ER_211016_SC10",474931.124016957,104524.171813844,"All birds flushed, most resettled after 1m some (10-20) moved to SC10"
"7_ER_211016_MO15","21/10/2016","09:50","DB","50","7_ER_211016_SC09",474931.124016957,104524.171813844,"7_ER_211016_SC10",474931.124016957,104524.171813844,"All birds flushed, most resettled after 1m some (10-20) moved to SC10"
"7_ER_211016_M19","21/10/2016","10:20","CU","15","Channeledge",NA,NA,"7_ER_211016_SC09",NA,NA,"Flew in to feed"
"7_ER_211016_M22","21/10/2016","11:45","DB","6","7_ER_211016_SC19",NA,NA,"SC7_ER_211016_21",NA,NA,""
"7_ER_211016_M23","21/10/2016","12:00","DB","35","E.channeledge",NA,NA,"W.channeledge",NA,NA,""
"7_ER_211016_M24","21/10/2016","12:00","CU","6","Tidaledge",NA,NA,"Backfromtidaledge",NA,NA,"Frontal movement back from tide"
"NH_JN_161216_MO6","16/12/2016","","GV","2","H73B",471361.56283807,103537.71325255,"H76",472327.50852231,104166.97179855,""
"NH_JN_161216_MO7","16/12/2016","","BW","1","H73B",471361.56283807,103537.71325255,"H76",472327.50852231,104166.97179855,""
"NH_JN_161216_MO10","16/12/2016","","DN","2","H73A",471627.28181909,103746.15072104,"H76",472327.50852231,104166.97179855,""
"NH_JN_161216_MO12","16/12/2016","","DN","20","H28C",471258.15992527,104858.68836398,"H73B",471361.56283807,103537.71325255,"Loud bang earlier, not sure if related"
"NH_JN_161216_MO14","16/12/2016","","OC","2","H28C",471258.15992527,104858.68836398,"H73B",471361.56283807,103537.71325255,"Same as Mo11/12/13"
