"Site_code","Date","V1"
"Appledram",2014-01-29,TRUE
"Appledram",2015-01-24,FALSE
"Appledram",2015-02-01,FALSE
"Appledram",2015-02-07,TRUE
"Appledram",2015-02-15,FALSE
"Appledram",2015-03-10,TRUE
"Appledram",2016-01-24,TRUE
"Appledram",2016-02-10,FALSE
"Avon Water",2014-11-25,TRUE
"Avon Water",2014-12-09,NA
"Avon Water",2015-01-21,TRUE
"Avon Water",2015-02-19,TRUE
"Avon Water",2015-12-04,FALSE
"Avon Water",2015-12-12,TRUE
"Avon Water",2015-12-23,NA
"Avon Water",2016-01-03,NA
"Avon Water",2016-01-04,NA
"Avon Water",2016-01-05,NA
"Avon Water",2016-01-06,NA
"Avon Water",2016-01-07,NA
"Avon Water",2016-01-09,TRUE
"Avon Water",2016-01-10,TRUE
"Avon Water",2016-01-11,TRUE
"Avon Water",2016-01-12,TRUE
"Avon Water",2016-01-13,TRUE
"Avon Water",2016-01-15,NA
"Avon Water",2016-01-22,TRUE
"Avon Water",2016-01-23,TRUE
"Avon Water",2016-01-25,TRUE
"Avon Water",2016-01-26,TRUE
"Avon Water",2016-01-27,TRUE
"Avon Water",2016-01-28,TRUE
"Avon Water",2016-01-29,TRUE
"Avon Water",2016-01-31,TRUE
"Avon Water",2016-02-01,TRUE
"Avon Water",2016-02-02,TRUE
"Avon Water",2016-02-04,NA
"Avon Water",2016-02-18,TRUE
"Avon Water",2016-02-20,TRUE
"Avon Water",2016-02-22,TRUE
"Avon Water",2016-03-01,TRUE
"Birdham",2015-01-29,FALSE
"Birdham",2016-01-18,FALSE
"Birdham",2016-01-24,FALSE
"Birdham",2017-01-25,NA
"Bosham_b",2013-01-28,FALSE
"Bosham_b",2016-01-25,TRUE
"Bosham_b",2017-01-25,FALSE
"Church Norton",2016-01-11,NA
"Church Norton",2016-03-10,TRUE
"Conigar Point",2012-12-19,TRUE
"Conigar Point",2013-02-11,TRUE
"Conigar Point",2014-01-18,NA
"Conigar Point",2014-02-01,TRUE
"Conigar Point",2014-02-28,FALSE
"Conigar Point",2014-03-07,TRUE
"Conigar Point",2016-01-23,NA
"Conigar Point",2016-01-26,TRUE
"Conigar Point",2017-02-28,FALSE
"Conigar Point",2017-03-01,NA
"Conigar Point",2017-03-10,TRUE
"Ella Nore",2016-02-10,TRUE
"Farlington marsh",2012-01-17,NA
"Farlington marsh",2012-11-06,TRUE
"Farlington marsh",2012-11-28,TRUE
"Farlington marsh",2013-01-25,NA
"Farlington marsh",2013-02-06,NA
"Farlington marsh",2013-02-09,NA
"Farlington marsh",2013-11-19,TRUE
"Farlington marsh",2013-11-22,TRUE
"Farlington marsh",2013-12-18,TRUE
"Farlington marsh",2014-12-09,FALSE
"Farlington marsh",2015-10-02,TRUE
"Farlington marsh",2015-10-09,TRUE
"Farlington marsh",2015-10-14,TRUE
"Farlington marsh",2015-10-19,TRUE
"Farlington marsh",2015-10-20,TRUE
"Farlington marsh",2015-10-27,TRUE
"Farlington marsh",2015-10-28,TRUE
"Farlington marsh",2015-10-29,TRUE
"Farlington marsh",2015-11-01,FALSE
"Farlington marsh",2015-11-09,TRUE
"Farlington marsh",2015-11-10,TRUE
"Farlington marsh",2015-11-11,TRUE
"Farlington marsh",2015-11-16,TRUE
"Farlington marsh",2015-11-23,FALSE
"Farlington marsh",2015-11-25,TRUE
"Farlington marsh",2015-11-26,TRUE
"Farlington marsh",2015-11-28,TRUE
"Farlington marsh",2015-12-01,TRUE
"Farlington marsh",2015-12-08,TRUE
"Farlington marsh",2015-12-10,TRUE
"Farlington marsh",2015-12-12,TRUE
"Farlington marsh",2015-12-17,TRUE
"Farlington marsh",2015-12-21,FALSE
"Farlington marsh",2015-12-26,FALSE
"Farlington marsh",2015-12-31,TRUE
"Farlington marsh",2016-01-05,FALSE
"Farlington marsh",2016-01-12,TRUE
"Farlington marsh",2016-01-14,TRUE
"Farlington marsh",2016-01-17,FALSE
"Farlington marsh",2016-01-23,TRUE
"Farlington marsh",2016-01-25,TRUE
"Farlington marsh",2016-01-28,TRUE
