Species,BTO Code,threshInt,threshGB,Chichester.and.Langstone.Harbours,Portsmouth.Harbour,Solent.and.Southampton.Water
Avocet,AV,730,75,,,
Bar-tailed Godwit,BA,1200,380,1692,,
Bewick's Swan,BS,220,70,,,
Bittern,BI,65,6,,,
Black-tailed Godwit,BW,610,430,,310,1125
Brent Goose (Dark-bellied),DB,2400,910,17119,2847,7506
Canada Goose,CG,,,,,
Common Sandpiper,CS,17300,,,,
Coot,CO,17500,1800,,,
Cormorant,CA,1200,350,,,
Curlew,CU,8400,1400,1861,,
Curlew Sandpiper,CV,10000,,,,
Dunlin,DN,13000,3500,44294,5123,
Eider (except Shetland),E.,10300,550,,,
Gadwall,GA,600,250,,,
Golden Plover,GP,9300,4000,,,
Goldeneye,GN,11400,200,,,
Green Sandpiper,GE,15500,9,,,
Greenshank,GK,2300,6,,,
Grey Heron,H.,2700,610,,,
Grey Plover,GV,2500,430,3825,,
Jack Snipe,JS,20000,1000,,,
Knot,KN,4500,3200,,,
Lapwing,L.,20000,6200,,,
Little Egret,ET,1300,45,,,
Little Ringed Plover,LP,2500,,,,
Long-tailed Duck,LN,16000,110,,,
Mallard,MA,45000,6800,,,
Moorhen,MH,20000,3200,,,
Mute Swan,MS,320,740,,,
Oystercatcher,OC,8200,3200,,,
Pintail,PT,600,290,330,,
Pochard,PO,3000,380,,,
Purple Sandpiper,PS,710,130,,,
Redshank,RK,2400,1200,1788,,
Ringed Plover,RP,730,340,846,,552
Ruff,RU,12200,8,,,
Sanderling,SS,1200,160,236,,
Shelduck,SU,3000,610,2410,,
Shoveler,SV,400,180,100,,
Snipe,SN,20000,10000,,,
Spotted Redshank,DR,850,,,,
Teal,T.,5100,2100,1824,,4400
Tufted Duck,TU,12000,1100,,,
Turnstone,TT,1400,480,430,,
Water Rail,WA,10000,10000,,,
Whimbrel,WM,6700,,,,
Wigeon,WN,15000,4400,2055,,
Assemblage,,,,93230,,51361
