"time","h"
2009-01-01 02:05:00,4.44
2009-01-01 14:05:00,4.31
2009-01-02 02:40:00,4.3
2009-01-02 14:50:00,4.23
2009-01-03 03:25:00,4.17
2009-01-03 15:25:00,4.15
2009-01-04 04:10:00,4.31
2009-01-04 16:10:00,4.12
2009-01-05 04:50:00,4.3
2009-01-05 16:55:00,3.85
2009-01-06 06:10:00,3.93
2009-01-06 18:25:00,3.86
2009-01-07 07:05:00,4.22
2009-01-15 02:15:00,5.2
2009-01-15 14:30:00,4.91
2009-01-16 03:00:00,4.89
2009-01-16 15:10:00,4.73
2009-01-17 03:30:00,4.88
2009-01-17 15:55:00,4.45
2009-01-18 04:15:00,4.73
2009-01-18 16:30:00,4.35
2009-01-19 05:00:00,4.84
2009-01-19 17:55:00,3.99
2009-01-20 06:05:00,4.16
2009-01-20 19:10:00,4.1
2009-01-21 07:20:00,3.9
2009-01-21 20:45:00,4.14
2009-01-22 08:15:00,4.15
2009-01-22 21:10:00,4.01
2009-01-23 09:10:00,4.93
2009-01-23 22:15:00,4.52
2009-01-24 10:30:00,4.7
2009-01-24 22:55:00,4.72
2009-01-25 11:00:00,4.81
2009-01-25 23:20:00,4.95
2009-01-26 11:20:00,4.81
2009-01-27 00:05:00,4.87
2009-01-27 12:10:00,4.71
2009-01-28 00:35:00,4.79
2009-01-28 12:40:00,4.84
2009-01-29 01:10:00,4.85
2009-01-29 13:10:00,4.74
2009-01-30 01:35:00,4.76
2009-01-30 13:40:00,4.66
2009-01-31 02:10:00,4.68
2009-01-31 14:20:00,4.65
2009-02-01 02:45:00,4.49
2009-02-01 15:00:00,4.25
2009-02-02 03:30:00,4.38
2009-02-02 15:45:00,4.35
2009-02-03 03:45:00,4.5
2009-02-04 05:00:00,4.44
2009-02-04 17:40:00,4.12
2009-02-05 06:25:00,4.43
2009-02-05 19:20:00,4.27
2009-02-06 08:05:00,4.37
2009-02-07 00:00:00,2.97
2009-02-07 09:10:00,4.57
2009-02-07 21:55:00,4.71
2009-02-08 10:10:00,4.91
2009-02-08 22:45:00,5.01
2009-02-10 00:00:00,5.51
2009-02-10 11:45:00,5.39
2009-02-11 00:35:00,5.29
2009-02-11 12:40:00,5.12
2009-02-12 01:10:00,5.36
2009-02-12 13:20:00,5.15
2009-02-13 01:50:00,5.09
2009-02-13 13:50:00,5.01
2009-02-14 02:25:00,4.92
2009-02-14 14:40:00,4.66
2009-02-14 23:55:00,2.61
2009-02-16 03:35:00,4.54
2009-02-16 15:55:00,4.1
2009-02-17 04:10:00,4.26
2009-02-17 16:50:00,3.87
2009-02-18 05:05:00,3.76
2009-02-18 17:45:00,3.59
2009-02-19 06:25:00,3.54
2009-02-19 19:45:00,3.57
2009-02-20 08:30:00,3.65
2009-02-20 21:05:00,3.81
2009-02-21 09:15:00,3.89
2009-02-21 21:50:00,4.12
2009-02-22 10:00:00,4.31
2009-02-22 22:30:00,4.44
2009-02-23 10:40:00,4.39
2009-02-23 23:05:00,4.58
2009-02-24 11:15:00,4.55
2009-02-24 23:45:00,4.72
2009-02-25 11:50:00,4.67
2009-02-26 00:10:00,4.87
2009-02-26 12:25:00,4.88
2009-02-27 00:40:00,4.95
2009-02-27 12:55:00,4.8
2009-02-28 01:15:00,4.95
2009-02-28 13:25:00,4.8
2009-03-01 01:50:00,4.95
2009-03-01 14:00:00,4.82
2009-03-02 02:20:00,4.92
2009-03-02 14:35:00,4.69
2009-03-03 02:55:00,4.64
2009-03-03 15:20:00,4.71
2009-03-04 00:40:00,2.93
2009-03-05 04:35:00,4.45
2009-03-05 17:50:00,3.98
2009-03-06 06:10:00,4.04
2009-03-07 07:45:00,4.23
2009-03-07 20:45:00,4.44
2009-03-08 08:55:00,4.43
2009-03-08 21:40:00,4.86
2009-03-09 10:00:00,4.82
2009-03-09 22:40:00,5.08
2009-03-10 10:45:00,5.09
2009-03-10 23:25:00,5.21
2009-03-11 11:35:00,5.01
2009-03-12 00:05:00,5.07
2009-03-12 12:20:00,5.01
