"time","h"
2008-01-01 06:10:00,2.88
2008-01-01 17:00:00,2.43
2008-01-02 06:10:00,2.75
2008-01-02 18:10:00,2.43
2008-01-03 06:50:00,2.81
2008-01-03 21:10:00,2.64
2008-01-04 07:30:00,2.81
2008-01-04 20:30:00,2.95
2008-01-05 08:20:00,2.64
2008-01-05 21:10:00,3
2008-01-06 09:10:00,3.06
2008-01-06 22:30:00,2.96
2008-01-07 10:10:00,2.92
2008-01-07 22:20:00,3.01
2008-01-08 10:30:00,3.09
2008-01-08 22:40:00,3.12
2008-01-09 11:00:00,3.04
2008-01-09 23:20:00,3.01
2008-01-10 11:40:00,3.36
2008-01-11 02:20:00,2.89
2008-01-11 12:20:00,3.5
2008-01-12 02:20:00,3.03
2008-01-12 12:40:00,3.16
2008-01-13 03:30:00,3.23
2008-01-13 13:40:00,3.35
2008-01-14 02:00:00,3.14
2008-01-14 13:50:00,3.06
2008-01-16 16:00:00,3.07
2008-01-17 06:40:00,3.14
2008-01-17 18:00:00,2.76
2008-01-18 06:10:00,3.09
2008-01-18 18:30:00,2.91
2008-01-19 07:30:00,2.87
2008-01-19 20:40:00,3.04
2008-01-20 08:30:00,2.89
2008-01-20 22:20:00,2.9
2008-01-21 09:20:00,3.12
2008-01-21 22:10:00,3.13
2008-01-22 10:10:00,3.25
2008-01-22 22:40:00,2.96
2008-01-23 11:00:00,3
2008-01-23 23:30:00,3.08
2008-01-24 11:40:00,3.08
2008-01-25 02:20:00,3.1
2008-01-25 12:10:00,2.85
2008-01-26 02:50:00,3.17
2008-01-26 13:00:00,2.8
2008-01-27 03:40:00,3.1
2008-01-27 13:40:00,2.8
2008-01-28 04:10:00,2.87
2008-01-28 14:10:00,2.62
2008-01-29 04:30:00,2.84
2008-01-29 16:30:00,2.68
2008-01-30 04:30:00,2.63
2008-01-30 17:10:00,2.61
2008-01-31 05:30:00,2.74
2008-01-31 16:20:00,2.21
2008-02-01 05:30:00,3.12
2008-02-01 19:00:00,2.83
2008-02-02 06:40:00,2.86
2008-02-02 21:30:00,2.58
2008-02-03 08:30:00,2.65
2008-02-03 20:50:00,2.93
2008-02-04 08:50:00,2.87
2008-02-04 22:40:00,3.08
2008-02-05 09:40:00,2.97
2008-02-05 21:50:00,3.24
2008-02-06 10:00:00,3.08
2008-02-07 00:40:00,3.03
2008-02-07 10:40:00,2.88
2008-02-07 23:10:00,2.77
2008-02-08 11:20:00,3.16
2008-02-08 23:40:00,2.87
2008-02-09 11:50:00,3.15
2008-02-10 00:10:00,2.87
2008-02-10 12:30:00,3.03
2008-02-11 03:10:00,2.89
2008-02-11 13:10:00,2.95
2008-02-12 03:40:00,2.81
2008-02-12 13:50:00,2.85
2008-02-13 04:00:00,2.91
2008-02-13 14:40:00,2.62
2008-02-14 05:10:00,2.78
2008-02-14 17:20:00,2.54
2008-02-15 06:00:00,2.7
2008-02-15 18:10:00,2.48
2008-02-16 06:30:00,2.57
2008-02-16 19:40:00,2.4
2008-02-17 07:40:00,2.6
2008-02-17 20:50:00,2.66
2008-02-18 08:30:00,2.79
2008-02-18 21:10:00,2.79
2008-02-19 09:20:00,2.87
2008-02-19 21:50:00,2.95
2008-02-20 10:00:00,3
2008-02-20 22:40:00,3.01
2008-02-21 10:40:00,3.06
2008-02-21 23:10:00,3.06
2008-02-22 11:20:00,3.2
2008-02-22 23:40:00,3.06
2008-02-23 11:50:00,3.18
2008-02-24 00:10:00,2.91
2008-02-24 12:30:00,3.15
2008-02-25 03:00:00,3
2008-02-25 13:00:00,2.97
2008-02-26 03:20:00,3.05
2008-02-26 16:00:00,2.87
2008-02-27 03:50:00,3
2008-02-27 16:10:00,3.03
2008-02-28 04:10:00,2.76
2008-02-28 16:00:00,2.67
2008-02-29 04:10:00,2.8
2008-02-29 16:40:00,2.64
2008-03-01 06:30:00,2.52
2008-03-01 18:10:00,3.17
2008-03-02 06:10:00,2.38
2008-03-02 19:40:00,2.67
2008-03-03 08:20:00,2.54
2008-03-03 20:50:00,2.91
2008-03-04 08:20:00,2.27
2008-03-04 22:10:00,2.69
2008-03-05 09:10:00,2.44
2008-03-05 21:40:00,2.54
2008-03-06 09:50:00,2.91
2008-03-06 22:10:00,2.94
2008-03-07 10:10:00,3.04
2008-03-07 22:40:00,3.09
2008-03-08 10:50:00,3.24
2008-03-08 23:10:00,3.2
2008-03-09 11:30:00,3.39
2008-03-10 02:10:00,3.44
2008-03-10 12:10:00,4.02
2008-03-11 00:20:00,3.22
2008-03-11 12:40:00,3.44
2008-03-12 01:20:00,3.3
2008-03-12 13:20:00,3.11
2008-03-13 03:50:00,3.27
2008-03-13 16:40:00,3.2
2008-03-14 04:00:00,2.96
2008-03-14 17:30:00,3
2008-03-15 04:50:00,2.88
2008-03-15 17:40:00,2.92
2008-03-16 06:10:00,2.89
2008-03-16 20:10:00,2.86
2008-03-17 07:50:00,2.64
2008-03-17 21:00:00,2.84
2008-03-18 08:30:00,2.72
2008-03-18 22:20:00,2.91
2008-03-19 09:10:00,2.82
2008-03-19 23:20:00,2.87
2008-03-20 09:50:00,2.8
2008-03-20 22:10:00,3.04
2008-03-21 10:10:00,3.31
2008-03-21 22:40:00,3.14
2008-03-22 11:00:00,2.94
2008-03-23 01:30:00,2.83
2008-03-23 11:30:00,2.95
2008-03-24 01:30:00,3.04
2008-03-24 12:00:00,3.06
2008-03-25 02:30:00,3.05
2008-03-25 14:30:00,3.06
2008-03-26 02:40:00,3.08
2008-03-26 14:50:00,2.9
2008-03-27 03:00:00,2.92
2008-03-27 15:30:00,2.83
2008-03-28 03:40:00,2.94
2008-03-28 15:30:00,2.84
2008-03-31 19:20:00,2.53
2008-04-01 07:00:00,2.38
2008-04-01 20:50:00,2.54
2008-04-02 08:50:00,2.75
