"time","h"
1991-01-29 23:00:00,4.592
1991-01-30 11:00:00,4.514
1991-01-31 00:00:00,4.541
1991-01-31 12:00:00,4.656
1991-02-01 01:00:00,4.747
1991-02-01 13:00:00,4.619
1991-02-02 01:00:00,4.674
1991-02-02 13:00:00,4.427
1991-02-03 02:00:00,4.461
1991-02-03 14:00:00,4.337
1991-02-04 03:00:00,4.334
1991-02-04 15:00:00,4.147
1991-02-05 03:00:00,4.108
1991-02-05 15:00:00,3.821
1991-02-06 04:00:00,3.897
1991-02-06 16:00:00,3.588
1991-02-07 05:00:00,3.563
1991-02-07 17:00:00,3.515
1991-02-08 06:00:00,3.61
1991-02-08 18:00:00,3.321
1991-02-09 07:00:00,3.473
1991-02-09 20:00:00,3.57
1991-02-10 08:00:00,3.516
1991-02-10 21:00:00,3.65
1991-02-11 09:00:00,3.712
1991-02-11 22:00:00,4.052
1991-02-12 10:00:00,3.962
1991-02-12 23:00:00,4.175
1991-02-13 11:00:00,3.949
1991-02-13 23:00:00,4.166
1991-02-14 11:00:00,4.247
1991-02-15 00:00:00,4.443
1991-02-15 12:00:00,4.412
1991-02-16 00:00:00,4.872
1991-02-16 12:00:00,4.623
1991-02-17 01:00:00,4.385
1991-02-17 13:00:00,4.454
1991-02-18 01:00:00,4.526
1991-02-18 13:00:00,4.381
1991-02-19 02:00:00,4.448
1991-02-19 14:00:00,4.403
1991-02-20 03:00:00,4.528
1991-02-20 15:00:00,4.427
1991-02-21 03:00:00,4.321
1991-02-21 16:00:00,4.331
1991-02-22 04:00:00,4.084
1991-02-22 17:00:00,4.146
1991-02-23 05:00:00,3.799
1991-02-23 18:00:00,3.712
1991-02-24 07:00:00,3.907
1991-02-24 20:00:00,3.887
1991-02-25 08:00:00,3.92
1991-02-25 21:00:00,4.038
1991-02-26 09:00:00,4.112
1991-02-26 22:00:00,4.265
1991-02-27 10:00:00,4.304
1991-02-27 23:00:00,4.55
1991-02-28 11:00:00,4.407
1991-03-01 00:00:00,4.64
1991-03-01 12:00:00,4.629
1991-03-02 00:00:00,4.703
1991-03-02 12:00:00,4.697
1991-03-03 01:00:00,4.757
1991-03-03 13:00:00,4.465
1991-03-04 02:00:00,4.506
1991-03-04 14:00:00,4.546
1991-03-05 02:00:00,4.564
1991-03-05 14:00:00,4.247
1991-03-06 03:00:00,4.489
1991-03-06 15:00:00,4.355
1991-03-07 03:00:00,4.461
1991-03-07 16:00:00,4.086
1991-03-08 04:00:00,3.994
1991-03-08 17:00:00,4.046
1991-03-09 04:00:00,3.845
1991-03-09 17:00:00,3.578
1991-03-10 06:00:00,3.425
1991-03-10 19:00:00,3.517
1991-03-11 08:00:00,3.443
1991-03-11 21:00:00,3.713
1991-03-12 09:00:00,3.759
1991-03-12 21:00:00,3.955
1991-03-13 09:00:00,3.955
1991-03-13 22:00:00,4.16
1991-03-14 10:00:00,4.192
1991-03-14 23:00:00,4.354
1991-03-15 11:00:00,4.429
1991-03-15 23:00:00,4.592
1991-03-16 11:00:00,4.59
1991-03-17 00:00:00,4.818
1991-03-17 12:00:00,4.731
1991-03-18 00:00:00,4.644
1991-03-18 13:00:00,4.6
1991-03-19 01:00:00,4.781
1991-03-19 13:00:00,4.551
1991-03-20 01:00:00,4.724
1991-03-20 14:00:00,4.7
1991-03-21 02:00:00,4.541
1991-03-21 15:00:00,4.507
1991-03-22 03:00:00,4.478
1991-03-22 16:00:00,4.206
1991-03-23 04:00:00,4.11
1991-03-23 17:00:00,3.869
1991-03-24 05:00:00,3.751
1991-03-24 18:00:00,3.722
1991-03-25 07:00:00,3.456
1991-03-25 20:00:00,3.648
1991-03-26 08:00:00,3.682
1991-03-26 21:00:00,3.989
1991-03-27 09:00:00,4.086
1991-03-27 22:00:00,4.22
1991-03-28 10:00:00,4.102
1991-03-28 22:00:00,4.223
1991-03-29 11:00:00,4.093
1991-03-29 23:00:00,4.312
1991-03-30 11:00:00,4.322
1991-03-31 00:00:00,4.473
1991-03-31 12:00:00,4.35
1991-04-01 00:00:00,4.48
1991-04-01 12:00:00,4.385
1991-04-02 01:00:00,4.504
1991-04-02 13:00:00,4.657
1991-04-03 01:00:00,4.564
1991-04-03 14:00:00,4.485
1991-04-04 02:00:00,4.412
1991-04-04 14:00:00,4.49
1991-04-05 02:00:00,4.148
1991-04-05 15:00:00,3.968
1991-04-06 03:00:00,3.903
1991-04-06 16:00:00,4.003
1991-04-07 03:00:00,3.417
1991-04-07 17:00:00,3.645
1991-04-08 05:00:00,3.444
1991-04-08 18:00:00,3.541
1991-04-09 07:00:00,3.363
1991-04-09 20:00:00,3.427
1991-04-10 08:00:00,3.622
1991-04-10 21:00:00,3.887
1991-04-11 09:00:00,3.778
1991-04-11 21:00:00,4.088
1991-04-12 10:00:00,4.22
1991-04-12 22:00:00,4.495
1991-04-13 10:00:00,4.218
1991-04-13 23:00:00,4.46
1991-04-14 11:00:00,4.266
1991-04-14 23:00:00,4.385
1991-04-15 12:00:00,4.268
1991-04-16 00:00:00,4.549
1991-04-16 12:00:00,4.406
1991-04-17 01:00:00,4.665
1991-04-17 13:00:00,4.472
1991-04-18 01:00:00,4.419
1991-04-18 14:00:00,4.383
1991-04-19 02:00:00,4.599
1991-04-19 15:00:00,4.182
1991-04-20 03:00:00,4.11
1991-04-20 16:00:00,4.088
1991-04-21 04:00:00,4.023
1991-04-21 17:00:00,4.031
1991-04-22 05:00:00,3.911
1991-04-22 18:00:00,4.098
1991-04-23 06:00:00,3.7
1991-04-23 19:00:00,3.978
1991-04-24 08:00:00,3.847
1991-04-24 20:00:00,4.212
1991-04-25 09:00:00,4.075
1991-04-25 21:00:00,4.295
1991-04-26 10:00:00,4.132
1991-04-26 22:00:00,4.506
1991-04-27 10:00:00,4.376
1991-04-27 23:00:00,4.612
1991-04-28 11:00:00,4.456
1991-04-28 23:00:00,4.516
1991-04-29 12:00:00,4.412
1991-04-30 00:00:00,4.685
1991-04-30 12:00:00,4.539
1991-05-01 00:00:00,4.46
1991-05-01 13:00:00,4.252
1991-05-02 01:00:00,4.219
1991-05-02 14:00:00,4.127
1991-05-03 02:00:00,4.136
1991-05-03 14:00:00,4.139
1991-05-04 02:00:00,3.977
1991-05-04 15:00:00,4.021
1991-05-05 03:00:00,3.871
1991-05-05 16:00:00,3.876
1991-05-06 04:00:00,3.758
1991-05-06 17:00:00,3.721
1991-05-07 05:00:00,3.487
1991-05-07 17:00:00,3.741
1991-05-08 06:00:00,3.409
1991-05-08 19:00:00,3.749
1991-05-09 07:00:00,3.438
1991-05-09 20:00:00,3.927
1991-05-10 08:00:00,3.703
1991-05-10 21:00:00,4.038
1991-05-11 09:00:00,3.974
1991-05-11 21:00:00,4.315
1991-05-12 10:00:00,4.085
1991-05-12 22:00:00,4.353
1991-05-13 10:00:00,4.319
1991-05-13 23:00:00,4.427
1991-05-14 11:00:00,4.601
1991-05-15 00:00:00,4.462
1991-05-15 12:00:00,4.43
1991-05-16 00:00:00,4.637
1991-05-16 13:00:00,4.51
1991-05-17 01:00:00,4.533
1991-05-17 14:00:00,4.445
1991-05-18 02:00:00,4.403
1991-05-18 15:00:00,4.311
1991-05-19 03:00:00,4.198
1991-05-19 16:00:00,4.279
1991-05-20 04:00:00,4.018
1991-05-20 17:00:00,4.257
1991-05-21 05:00:00,3.849
1991-05-21 18:00:00,3.972
1991-05-22 06:00:00,3.885
1991-05-22 19:00:00,4.038
1991-05-23 07:00:00,3.673
1991-05-23 20:00:00,4.076
1991-05-24 08:00:00,3.78
1991-05-24 21:00:00,4.064
1991-05-25 09:00:00,3.922
1991-05-25 22:00:00,4.132
1991-05-26 10:00:00,4.033
1991-05-26 22:00:00,4.202
1991-05-27 11:00:00,4.06
1991-05-27 23:00:00,4.281
1991-05-28 11:00:00,4.078
1991-05-28 23:00:00,4.162
1991-05-29 12:00:00,4.147
1991-05-30 00:00:00,4.252
1991-05-30 13:00:00,4.175
1991-05-31 01:00:00,4.224
1991-05-31 13:00:00,4.208
1991-06-01 01:00:00,4.227
1991-06-01 14:00:00,4.211
1991-06-02 02:00:00,4.034
1991-06-02 15:00:00,4.108
1991-06-03 02:00:00,4.051
1991-06-03 15:00:00,4.289
1991-06-04 03:00:00,3.98
1991-06-04 16:00:00,4.135
1991-06-05 04:00:00,3.841
1991-06-05 17:00:00,4.103
1991-06-06 05:00:00,3.832
1991-06-06 18:00:00,4.02
1991-06-07 06:00:00,3.88
1991-06-07 19:00:00,4.195
1991-06-08 07:00:00,3.888
1991-06-08 20:00:00,4.208
1991-06-09 08:00:00,3.991
1991-06-09 21:00:00,4.479
1991-06-10 09:00:00,4.226
1991-06-10 21:00:00,4.501
1991-06-11 10:00:00,4.417
1991-06-11 22:00:00,4.627
1991-06-12 11:00:00,4.51
1991-06-12 23:00:00,4.787
1991-06-13 12:00:00,4.684
1991-06-14 00:00:00,4.767
1991-06-14 13:00:00,4.688
1991-06-15 01:00:00,4.793
1991-06-15 13:00:00,4.751
1991-06-16 02:00:00,4.609
1991-06-16 14:00:00,4.582
1991-06-17 02:00:00,4.359
1991-06-17 15:00:00,4.405
1991-06-18 03:00:00,4.186
1991-06-18 16:00:00,4.303
1991-06-19 04:00:00,4.069
1991-06-19 17:00:00,4.318
1991-06-20 05:00:00,4.018
1991-06-20 18:00:00,4.25
1991-06-21 06:00:00,3.877
1991-06-21 19:00:00,4.111
1991-06-22 07:00:00,3.807
1991-06-22 20:00:00,4.17
1991-06-23 09:00:00,3.853
1991-06-23 21:00:00,4.262
1991-06-24 10:00:00,4.039
1991-06-24 22:00:00,4.142
1991-06-25 10:00:00,4.132
1991-06-25 22:00:00,4.242
1991-06-26 11:00:00,4.301
1991-06-26 23:00:00,4.353
1991-06-27 12:00:00,4.377
1991-06-28 00:00:00,4.32
1991-06-28 12:00:00,4.348
1991-06-29 00:00:00,4.252
1991-06-29 13:00:00,4.325
1991-06-30 01:00:00,4.2
1991-06-30 13:00:00,4.245
1991-07-01 01:00:00,4.203
1991-07-01 14:00:00,4.25
1991-07-02 02:00:00,4.13
1991-07-02 15:00:00,4.166
1991-07-03 03:00:00,4.067
1991-07-03 15:00:00,4.105
1991-07-04 03:00:00,3.939
1991-07-04 16:00:00,4.087
1991-07-05 04:00:00,3.889
1991-07-05 17:00:00,4.107
1991-07-06 05:00:00,3.908
1991-07-06 18:00:00,4.063
1991-07-07 06:00:00,3.814
1991-07-07 19:00:00,4.156
1991-07-08 07:00:00,3.957
1991-07-08 20:00:00,4.278
1991-07-09 09:00:00,3.976
1991-07-09 21:00:00,4.291
1991-07-10 10:00:00,4.288
1991-07-10 22:00:00,4.484
1991-07-11 11:00:00,4.56
1991-07-11 23:00:00,4.623
1991-07-12 12:00:00,4.649
1991-07-13 00:00:00,4.595
1991-07-13 12:00:00,4.775
1991-07-14 01:00:00,4.64
1991-07-14 13:00:00,4.812
1991-07-15 01:00:00,4.667
1991-07-15 14:00:00,4.673
1991-07-16 02:00:00,4.561
1991-07-16 15:00:00,4.572
1991-07-17 03:00:00,4.355
1991-07-17 16:00:00,4.406
1991-07-18 04:00:00,4.163
1991-07-18 16:00:00,4.323
1991-07-19 05:00:00,4.009
1991-07-19 17:00:00,4.165
1991-07-20 06:00:00,3.747
1991-07-20 18:00:00,3.91
1991-07-21 07:00:00,3.621
1991-07-21 19:00:00,3.791
1991-07-22 08:00:00,3.631
1991-07-22 21:00:00,3.818
1991-07-23 09:00:00,3.905
1991-07-23 21:00:00,4.004
1991-07-24 10:00:00,4.192
1991-07-24 22:00:00,4.2
1991-07-25 11:00:00,4.27
1991-07-25 23:00:00,4.178
1991-07-26 11:00:00,4.227
1991-07-26 23:00:00,4.241
1991-07-27 12:00:00,4.347
1991-07-28 00:00:00,4.291
1991-07-28 12:00:00,4.35
1991-07-29 00:00:00,4.351
1991-07-29 13:00:00,4.46
1991-07-30 01:00:00,4.511
1991-07-30 14:00:00,4.423
1991-07-31 01:00:00,4.366
1991-07-31 14:00:00,4.447
1991-08-01 02:00:00,4.354
1991-08-01 15:00:00,4.416
1991-08-02 03:00:00,4.155
1991-08-02 15:00:00,4.244
1991-08-03 04:00:00,3.992
1991-08-03 16:00:00,4.126
1991-08-04 05:00:00,3.81
1991-08-04 17:00:00,4.006
1991-08-05 06:00:00,3.755
1991-08-05 18:00:00,3.911
1991-08-06 07:00:00,4.017
1991-08-06 20:00:00,4.028
1991-08-07 09:00:00,4.111
1991-08-07 21:00:00,4.276
1991-08-08 10:00:00,4.22
1991-08-08 22:00:00,4.31
1991-08-09 11:00:00,4.316
1991-08-09 23:00:00,4.433
1991-08-10 11:00:00,4.622
1991-08-10 23:00:00,4.527
1991-08-11 12:00:00,4.749
1991-08-12 00:00:00,4.725
1991-08-12 13:00:00,4.846
1991-08-13 01:00:00,4.639
1991-08-13 14:00:00,4.676
1991-08-14 02:00:00,4.52
1991-08-14 14:00:00,4.56
1991-08-15 02:00:00,4.366
