"time","h"
2009-01-01 01:45:00,4.26
2009-01-01 13:45:00,4.15
2009-01-02 02:30:00,4.12
2009-01-02 14:40:00,4.08
2009-01-03 03:15:00,4
2009-01-03 15:05:00,4.02
2009-01-04 03:45:00,4.13
2009-01-04 15:55:00,3.96
2009-01-05 04:50:00,4.15
2009-01-05 16:45:00,3.75
2009-01-06 06:10:00,3.78
2009-01-06 18:20:00,3.7
2009-01-07 06:55:00,4.09
2009-01-07 19:40:00,3.78
2009-01-08 08:00:00,4.02
2009-01-08 20:50:00,3.99
2009-01-09 09:05:00,4.36
2009-01-09 21:40:00,4.31
2009-01-10 10:00:00,4.5
2009-01-10 22:30:00,4.47
2009-01-11 11:05:00,4.86
2009-01-11 23:25:00,4.7
2009-01-12 11:50:00,4.94
2009-01-13 00:20:00,5.09
2009-01-13 12:30:00,4.98
2009-01-14 01:10:00,4.99
2009-01-14 13:20:00,4.75
2009-01-15 02:00:00,4.93
2009-01-15 13:55:00,4.65
2009-01-16 02:40:00,4.6
2009-01-16 15:05:00,4.47
2009-01-17 03:20:00,4.62
2009-01-17 15:40:00,4.22
2009-01-18 04:10:00,4.45
2009-01-18 16:15:00,4.14
2009-01-19 05:10:00,4.64
2009-01-19 17:30:00,3.83
2009-01-20 05:55:00,3.96
2009-01-20 18:40:00,3.89
2009-01-21 07:10:00,3.76
2009-01-21 20:15:00,3.93
2009-01-22 08:20:00,3.96
2009-01-22 22:00:00,3.85
2009-01-23 09:05:00,4.68
2009-01-23 22:15:00,4.34
2009-01-24 10:15:00,4.55
2009-01-24 22:35:00,4.52
2009-01-25 10:30:00,4.54
2009-01-25 23:25:00,4.7
2009-01-26 11:15:00,4.62
2009-01-26 23:45:00,4.68
2009-01-27 11:50:00,4.53
2009-01-28 00:15:00,4.57
2009-01-28 12:20:00,4.64
2009-01-29 00:55:00,4.61
2009-01-29 12:55:00,4.56
2009-01-30 01:20:00,4.53
2009-01-30 13:35:00,4.47
2009-01-31 01:55:00,4.46
2009-01-31 14:10:00,4.46
2009-02-01 02:35:00,4.3
2009-02-01 14:40:00,4.09
2009-02-02 03:25:00,4.3
2009-02-02 15:25:00,4.2
2009-02-03 03:45:00,4.38
2009-02-03 16:15:00,4.1
2009-02-04 04:45:00,4.23
2009-02-04 17:50:00,3.96
2009-02-05 06:35:00,4.29
2009-02-05 19:05:00,4.99
2009-02-06 08:00:00,5.12
2009-02-06 20:45:00,4.94
2009-02-07 09:05:00,5.28
2009-02-07 21:45:00,5.37
2009-02-08 10:00:00,5.61
2009-02-08 22:30:00,5.7
2009-02-10 00:00:00,6.09
2009-02-10 11:25:00,6.04
2009-02-11 00:15:00,5.9
2009-02-11 12:10:00,5.76
2009-02-12 00:55:00,5.97
2009-02-12 13:10:00,5.81
2009-02-13 01:25:00,5.74
2009-02-13 13:40:00,5.7
2009-02-14 02:05:00,5.53
2009-02-14 14:30:00,5.32
2009-02-14 23:55:00,3.46
2009-02-16 03:15:00,5.16
2009-02-16 15:35:00,4.78
2009-02-17 03:55:00,4.88
2009-02-17 16:45:00,4.54
2009-02-18 05:10:00,3.72
2009-02-18 18:00:00,3.57
2009-02-19 06:35:00,3.51
2009-02-19 19:55:00,3.54
2009-02-20 08:10:00,3.65
2009-02-20 20:55:00,3.73
2009-02-21 09:05:00,3.82
2009-02-21 21:50:00,4.04
2009-02-22 09:50:00,4.26
2009-02-22 22:20:00,4.36
2009-02-23 10:35:00,4.35
2009-02-23 22:55:00,4.49
2009-02-24 11:05:00,4.46
2009-02-24 23:25:00,4.61
2009-02-25 11:35:00,4.59
2009-02-25 23:50:00,4.75
2009-02-26 12:05:00,4.82
2009-02-27 00:30:00,4.84
2009-02-27 12:45:00,4.76
2009-02-28 00:55:00,4.85
2009-02-28 13:15:00,4.77
2009-02-28 23:55:00,4.06
2009-03-31 02:45:00,4.8
2009-03-31 15:15:00,4.52
2009-03-31 23:55:00,2.26
2009-12-13 08:40:00,4.32
2009-12-13 21:05:00,4.12
2009-12-14 09:25:00,4.43
2009-12-14 22:05:00,4.39
2009-12-15 10:00:00,4.58
2009-12-15 22:40:00,4.48
2009-12-17 00:00:00,4.55
2009-12-17 11:25:00,4.64
2009-12-18 00:05:00,4.43
2009-12-18 12:15:00,4.34
2009-12-19 00:40:00,4.41
2009-12-19 12:40:00,4.49
2009-12-20 01:10:00,4.65
2009-12-20 13:05:00,4.66
2009-12-21 01:50:00,4.57
2009-12-21 13:40:00,4.54
2009-12-22 02:05:00,4.64
2009-12-22 14:20:00,4.52
2009-12-23 03:00:00,4.58
2009-12-23 15:05:00,4.43
2009-12-24 03:30:00,4.53
2009-12-24 15:30:00,4.25
2009-12-25 04:45:00,4.47
