"sector","Species","Median"
"17408","Brent Goose (Dark-bellied)",358
"17408","Cormorant",2
"17408","Curlew",53.5
"17408","Dunlin",219
"17408","Grey Plover",60.5
"17408","Lapwing",94
"17408","Little Egret",1
"17408","Mallard",11
"17408","Oystercatcher",79
"17408","Pintail",12
"17408","Redshank",71.5
"17408","Shelduck",34.5
"17408","Teal",118
"17408","Turnstone",16.5
"17408","Wigeon",180
"18301","Black-tailed Godwit",12.5
"18301","Brent Goose (Dark-bellied)",99
"18301","Canada Goose",305.5
"18301","Cormorant",13.5
"18301","Curlew",29
"18301","Dunlin",11
"18301","Gadwall",16
"18301","Greenshank",1.5
"18301","Grey Heron",4.5
"18301","Grey Plover",11.5
"18301","Lapwing",332.5
"18301","Little Egret",2
"18301","Mallard",117
"18301","Moorhen",7.5
"18301","Mute Swan",4.5
"18301","Oystercatcher",4
"18301","Redshank",30.5
"18301","Ringed Plover",11
"18301","Shelduck",9.5
"18301","Shoveler",15
"18301","Snipe",19.5
"18301","Teal",252.5
"18301","Wigeon",266.5
"18301","Tufted Duck",8
"18301","Coot",66
"18301","Pochard",10
"18301","Water Rail",1
"17419","Brent Goose (Dark-bellied)",233
"17419","Cormorant",2
"17419","Oystercatcher",32
"17419","Redshank",1
"17419","Turnstone",10
"17908","Curlew",3
"17908","Mallard",10
"17908","Mute Swan",2
"17908","Teal",91.5
"17908","Wigeon",58
"17417","Black-tailed Godwit",66.5
"17417","Cormorant",2.5
"17417","Curlew",12
"17417","Grey Heron",4
"17417","Little Egret",1.5
"17417","Mallard",10
"17417","Mute Swan",6.5
"17417","Oystercatcher",4
"17417","Redshank",30.5
"17417","Teal",33.5
"17417","Whimbrel",2
"17417","Wigeon",340.5
"17911","Black-tailed Godwit",2
"17911","Brent Goose (Dark-bellied)",233
"17911","Curlew",78
"17911","Dunlin",1
"17911","Little Egret",1
"17911","Mallard",2
"17911","Oystercatcher",560
"17911","Redshank",45
"17911","Ringed Plover",4
"17911","Shelduck",19
"17911","Teal",60
"17911","Turnstone",3
"17911","Wigeon",30
"20420","Brent Goose (Dark-bellied)",554.5
"20420","Curlew",7
"20420","Grey Plover",4.5
"20420","Mallard",44.5
"20420","Mute Swan",31
"20420","Oystercatcher",4
"20420","Redshank",16.5
"20420","Shelduck",4.5
"20420","Teal",58.5
"20420","Wigeon",14.5
"20421","Black-tailed Godwit",16
"20421","Brent Goose (Dark-bellied)",616
"20421","Cormorant",2
"20421","Curlew",31
"20421","Dunlin",1
"20421","Grey Heron",1
"20421","Grey Plover",2
"20421","Lapwing",1
"20421","Little Egret",2
"20421","Mallard",13
"20421","Moorhen",5
"20421","Mute Swan",53
"20421","Oystercatcher",1
"20421","Pintail",2
"20421","Redshank",103
"20421","Shelduck",14
"20421","Snipe",1
"20421","Teal",18
"20421","Wigeon",321
"20424","Bar-tailed Godwit",500
"20424","Brent Goose (Dark-bellied)",1041
"20424","Cormorant",1
"20424","Curlew",100.5
"20424","Dunlin",3077
"20424","Golden Plover",59
"20424","Grey Plover",165.5
"20424","Knot",345
"20424","Lapwing",159
"20424","Little Egret",2
"20424","Oystercatcher",779
"20424","Redshank",79
"20424","Shelduck",20.5
"20424","Snipe",2.5
"20424","Teal",10.5
"20424","Turnstone",16
"20423","Black-tailed Godwit",35
"20423","Brent Goose (Dark-bellied)",407
"20423","Canada Goose",50
"20423","Cormorant",8
"20423","Curlew",75.5
"20423","Dunlin",51
"20423","Gadwall",23.5
"20423","Greenshank",19
"20423","Grey Heron",2
"20423","Lapwing",361
"20423","Little Egret",6.5
"20423","Mallard",24.5
"20423","Moorhen",10
"20423","Mute Swan",3.5
"20423","Oystercatcher",179
"20423","Pintail",25
"20423","Redshank",409
"20423","Shelduck",56
"20423","Shoveler",1
"20423","Snipe",16
"20423","Spotted Redshank",2
"20423","Teal",166.5
"20423","Turnstone",10
"20423","Wigeon",252
"20423","Tufted Duck",10.5
"20423","Coot",56.5
"20423","Water Rail",4
"20423","Goldeneye",1
"20422","Avocet",14.5
"20422","Brent Goose (Dark-bellied)",429
"20422","Cormorant",2
"20422","Curlew",172.5
"20422","Dunlin",965.5
"20422","Grey Plover",153.5
"20422","Knot",7.5
"20422","Lapwing",7.5
"20422","Little Egret",1
"20422","Mallard",2
"20422","Mute Swan",1
"20422","Oystercatcher",37
"20422","Pintail",21
"20422","Redshank",27.5
"20422","Ringed Plover",1.5
"20422","Shelduck",27
"20422","Teal",62.5
"20422","Turnstone",50
"20422","Wigeon",272.5
"20422","Goldeneye",1
"20427","Brent Goose (Dark-bellied)",330.5
"20427","Cormorant",5.5
"20427","Curlew",72.5
"20427","Grey Heron",1
"20427","Little Egret",1.5
"20427","Mallard",51.5
"20427","Moorhen",2
"20427","Mute Swan",4
"20427","Oystercatcher",195
"20427","Redshank",134
"20427","Shelduck",36
"20427","Teal",17
"20427","Wigeon",6
"20427","Tufted Duck",11
"20427","Coot",38
"20425","Black-tailed Godwit",15.5
"20425","Brent Goose (Dark-bellied)",1234
"20425","Curlew",24
"20425","Dunlin",425
"20425","Golden Plover",4
"20425","Greenshank",1
"20425","Grey Heron",1
"20425","Grey Plover",26
"20425","Knot",1.5
"20425","Lapwing",123.5
